The,1916,The,DT|NNP|JJ|NN|VB
Project,84,Project,NNP|NN
Gutenberg,84,Gutenberg,NN
EBook,3,EBook,NN
of,34588,of,IN|RB|RP|NNP
King,76,King,NN
James,49,Jame,NN
Bible,6,Bible,NNP|JJ|NN
This,334,This,DT|NNP
eBook,6,eBook,NN
is,6858,be,VBZ|RB|NNS|VBP
for,7249,for,IN|NNP|CC|JJ|RB|RP
the,62265,the,DT|VBD|VBP|NN|DT|IN|JJ|NN|NNP|PDT
use,44,use,NN|VB|VBP
anyone,5,anyone,NN
anywhere,2,anywhere,RB
at,1522,at,IN|VBD|RB|RP
no,1351,no,DT|JJ|NN|RB|UH
cost,7,cost,NN|VBD|VBN|VBP|VB
and,38915,and,CC|VBP|JJ|RB|NNP
with,6007,with,IN|JJ|RB|RP
almost,12,almost,RB|JJ
restrictions,2,restriction,NNS
whatsoever,138,whatsoever,RB|WP
You,13,You,PRP|NN|NNP
may,1039,may,MD|NNP
copy,21,copy,NN|VBP|VB
it,5904,it,PRP
give,796,give,VB|NN|VBP
away,913,away,RB|RB|RP|RP
or,1140,or,CC|NNP
re,2,re,NN
under,396,under,IN|JJ|RB|RP
terms,19,term,NNS|VBZ
License,10,License,NN
included,3,include,VBD|VBN|JJ
this,2492,this,DT|RB|PDT
online,4,online,JJ
www,6,www,NN
gutenberg,6,gutenberg,NN
org,13,org,NN
Title,1,Title,NN
Release,1,Release,NNP|NN|VB
Date,1,Date,NN|NNP
March,1,March,NNP
was,4517,be,VBD|:
orginally,1,orginally,RB
posted,6,post,VBD|VBN|JJ
by,2559,by,IN|RB|RP|RB|RP
in,12387,in,IN|FW|NN|RB|RP|IN|RP|NNP|RP|IN|RBR|VBD
late,4,late,JJ|RB
Language,1,Language,NN
English,1,English,NN
START,2,START,NNP
OF,19,OF,IN
THIS,7,THIS,NN
PROJECT,4,PROJECT,NN
GUTENBERG,4,GUTENBERG,NN
EBOOK,2,EBOOK,NN
THE,23,THE,DT|NNP
KING,7,KING,NN
JAMES,2,JAME,NN
BIBLE,2,BIBLE,NN
Old,1,Old,NNP|JJ
Testament,2,Testament,NN
Version,1,Version,NN
First,12,First,NN
Book,26,Book,NNP|NN
Moses,852,Mos,NN
Called,10,Call,VBN|VBD|NNP
Genesis,1,Genesis,NN
In,337,In,IN|RBR|JJ|RB|NNP
beginning,106,begin,VBG|JJ|NN
God,4116,God,NN
created,47,create,VBN|VBD|JJ
heaven,578,heaven,NN
earth,985,earth,NN
And,12846,And,CC|NNP
without,428,without,IN
form,28,form,NN|VBP|JJ|VB
void,25,void,NN|JJ|VB
darkness,162,darkness,NN
upon,2732,upon,IN|RB|RP
face,416,face,NN|VBP|JJ|RB|VB
deep,64,deep,JJ|RB
Spirit,168,Spirit,NN
moved,75,move,VBD|VBN
waters,286,water,NNS
said,3995,said,VBD|VBN|JJ|VB
Let,430,Let,VB|NNP|VBD
there,2086,there,EX|RB|UH
be,6895,be,VB|VBN|VBP
light,267,light,NN|JJ|RB|VB|VBP
saw,547,saw,VBD|NN
that,12589,that,IN|DT|NN|RB|RP|UH|WP|VBP|WDT
good,712,good,JJ|NN|RB
divided,69,divide,VBN|VBD|JJ
from,3594,from,IN|RB|RP
called,624,call,VBN|VBD|VB
Day,3,Day,NN
he,9668,he,PRP|VB
Night,2,Night,NNP|NNPS|NN
evening,59,even,NN|VBG
morning,227,morning,NN
were,2767,be,VBD|VB
first,432,first,NN
day,1740,day,NN
a,8001,a,DT|VB|VBN|NNP|FW|JJ|LS|NN
firmament,17,firmament,NN
midst,364,midst,NN
let,1081,let,VB|VBD|VBN|VBP|NN
divide,48,divide,VB|NN|VBP
made,1405,made,VBN|VBD|JJ
which,4290,which,WDT|WP
above,220,above,IN|JJ|RB
so,1068,so,RB|CC|FW|IN
Heaven,5,Heaven,NN
second,171,second,NN
gathered,267,gather,VBD|VBN
together,484,together,RB|IN|RP
unto,8942,unto,IN|RP
one,1849,one,NN
place,717,place,NN|VBP|RB|VB
dry,71,dry,JJ|RB|VB|VBP
land,1718,land,NN|VBP|VB
appear,55,appear,VB|VBP
Earth,1,Earth,NN
gathering,11,gathering,NN|VBG
Seas,1,Sea,NNP|NNPS
bring,678,bring,VB|VBP
forth,896,forth,RB|RP
grass,62,grass,NN
herb,19,herb,NN
yielding,7,yielding,VBG|JJ|NN
seed,280,seed,NN|VBN
fruit,208,fruit,NN
tree,201,tree,NN
after,1103,after,IN|RB|RP
his,8385,his,PRP$|PRP
kind,45,kind,NN|JJ|RB
whose,284,whose,WP$
itself,50,itself,PRP
brought,862,brought,VBN|VBD
third,182,third,NN
lights,10,light,NNS|VBZ
to,13474,to,TO|RB
night,305,night,NN|RB
them,6425,them,PRP|DT
signs,53,sign,NNS|VBZ
seasons,12,season,NNS
days,871,day,NNS
years,540,year,NNS
two,823,two,NN
great,948,great,JJ|RB
greater,76,great,JJR|RBR
rule,65,rule,NN|VBP|VB
lesser,3,lesser,JJR|RBR
stars,51,star,NNS|VBZ
also,1667,also,RB|.
set,684,set,VBN|VBD|VBP|VBD|VBN|JJ|NN|VB
over,1003,over,IN|RP|JJ|RP|RB|RB
fourth,84,fourth,JJ|RB
abundantly,32,abundantly,RB
moving,5,moving,VBG|JJ|NN
creature,29,creature,NN
hath,2239,hath,VBZ
life,451,life,NN|RB
fowl,31,fowl,NN
fly,25,fly,VB|NN|VBP
open,114,open,JJ|VBP|NN|RB|RP|VB
whales,1,whale,NNS
every,1178,every,DT
living,147,living,VBG|JJ|NN
moveth,8,moveth,NN
their,3884,their,PRP$|PRP
winged,2,winged,VBD|VBN|JJ
blessed,182,bless,VBN|JJ|VBD
saying,1390,say,VBG|NN
Be,136,Be,VB|NNP
fruitful,35,fruitful,JJ
multiply,46,multiply,VB|VBP
fill,43,fill,VB|VBP|NN
